station,date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,sun,dos,soil,pe,evap,smd_wd,smd_md,smd_pd
Cork,01-Jan-62,0,2.8,1,-2.5, , ,8, ,999.6,9.2,0,14,0,340,0,24, ,0, , , , , , 
Cork,02-Jan-62,0,2.8,1,-3.7, , ,8, ,1005.8,5.9,0,9,0,340,0,10, ,0, , , , , , 
Cork,03-Jan-62,0,2.3,1,-3.8, , ,8, ,1007.8,6.7,0,9,0,360,0,13, ,0, , , , , , 
Cork,04-Jan-62,0,6.6,0,0.6, , ,8, ,1007.8,4.5,0,9,0,310,0,12, ,0, , , , , , 
Cork,05-Jan-62,0,9.3,0,0.6, , ,8, ,1002.2,12.7,0,21,0,240,0,29, ,0, , , , , , 
Cork,06-Jan-62,0,10.3,0,8.7, , ,8, ,999.1,14.8,0,24,0,220,0,34, ,0, , , , , , 
Cork,07-Jan-62,0,9.6,0,4.4, , ,8, ,1001.1,10.5,0,19,0,280,0,28, ,0, , , , , , 
Cork,08-Jan-62,0,9,0,1.2, , ,8, ,987.5,15.1,0,40,0,200,0,66, ,0, , , , , , 
Cork,09-Jan-62,0,6.6,0,2.2, , ,8, ,976.5,10.2,0,25,0,270,0,37, ,0, , , , , , 
Cork,10-Jan-62,0,10.4,0,1.4, , ,8, ,958.9,17.5,0,39,0,230,0,60, ,0, , , , , , 
Cork,11-Jan-62,0,7.8,0,3, , ,8, ,956.5,22.5,0,46,0,290,0,67, ,0, , , , , , 
Cork,12-Jan-62,0,6.9,0,1, , ,8, ,963.8,18,0,37,0,270,0,59, ,0, , , , , , 
Cork,13-Jan-62,0,5.9,0,0.8, , ,8, ,978.8,14.2,0,25,0,290,0,39, ,0, , , , , , 
Cork,14-Jan-62,0,5.6,0,0, , ,8, ,988.1,7.6,0,13,0,290,0,19, ,0, , , , , , 
Cork,15-Jan-62,0,9.3,0,2.8, , ,8, ,974.6,23.9,0,37,0,200,0,65, ,0, , , , , , 
Cork,16-Jan-62,0,7.3,0,0.6, , ,8, ,968.5,23.2,0,41,0,220,0,57, ,0, , , , , , 
Cork,17-Jan-62,0,8.4,0,2.2, , ,8, ,973.2,17.8,0,43,0,230,0,70, ,0, , , , , , 
Cork,18-Jan-62,0,8.1,0,1.7, , ,8, ,985.8,10.6,0,22,0,220,0,35, ,0, , , , , , 
Cork,19-Jan-62,0,8.3,0,2.9, , ,8, ,987.8,8.9,0,15,0,280,0,23, ,0, , , , , , 
Cork,20-Jan-62,0,9.5,0,6, , ,8, ,991.2,8.2,0,17,0,230,0,34, ,0, , , , , , 
Cork,21-Jan-62,0,9.4,0,1.7, , ,8, ,980.4,17.5,0,30,0,220,0,48, ,0, , , , , , 
Cork,22-Jan-62,0,6.7,0,0.6, , ,8, ,988.7,18.2,0,37,0,290,0,58, ,0, , , , , , 
Cork,23-Jan-62,0,10.3,0,1.7, , ,8, ,989.7,12.4,0,26,0,220,0,41, ,0, , , , , , 
Cork,24-Jan-62,0,10.3,0,7.3, , ,8, ,984.4,21.8,0,27,0,220,0,43, ,0, , , , , , 
Cork,25-Jan-62,0,11.6,0,5.9, , ,8, ,997.9,13.2,0,24,0,290,0,35, ,0, , , , , , 
Cork,26-Jan-62,0,10.1,0,6.5, , ,8, ,1006.3,6.5,0,16,0,260,0,23, ,0, , , , , , 
Cork,27-Jan-62,0,11.3,0,8.3, , ,8, ,1009.7,7.3,0,13,0,270,0,21, ,0, , , , , , 
Cork,28-Jan-62,0,10.3,0,7.2, , ,8, ,1012.2,1.2,0,5,0,280,0,6, ,0, , , , , , 
Cork,29-Jan-62,0,8.3,0,5.7, , ,8, ,1012.6,5.6,0,12,0,160,0,17, ,0, , , , , , 
Cork,30-Jan-62,0,9.1,0,6.1, , ,8, ,1009.8,12.7,0,22,0,230,0,31, ,0, , , , , , 
Cork,31-Jan-62,0,10.6,0,3.3, , ,8, ,1001.9,17.6,0,23,0,310,0,44, ,0, , , , , , 
Cork,01-Feb-62,0,7.8,0,2.7, , ,8, ,1010.2,13.3,0,21,0,300,0,41, ,0, , , , , , 
Cork,02-Feb-62,0,9.3,0,3.9, , ,8, ,1011,7.9,0,13,0,290,0,18, ,0, , , , , , 
Cork,03-Feb-62,0,12.3,0,3.8, , ,8, ,1004,13.2,0,26,0,280,0,36, ,0, , , , , , 
Cork,04-Feb-62,0,11.1,0,4.1, , ,8, ,999.3,17.6,0,26,0,250,0,42, ,0, , , , , , 
Cork,05-Feb-62,0,10,0,4.3, , ,8, ,1001.3,12.4,0,20,0,250,0,31, ,0, , , , , , 
Cork,06-Feb-62,0,9.7,0,5.4, , ,8, ,991.5,19.6,0,29,0,220,0,45, ,0, , , , , , 
Cork,07-Feb-62,0,8.1,0,4.4, , ,8, ,989.4,24,0,38,0,320,0,57, ,0, , , , , , 
Cork,08-Feb-62,0,8.5,0,2.8, , ,8, ,1004.8,8.8,0,26,0,340,0,39, ,0, , , , , , 
Cork,09-Feb-62,0,9.4,0,7.1, , ,8, ,1011.5,8.1,0,17,0,330,0,23, ,0, , , , , , 
Cork,10-Feb-62,0,11.6,0,3.5, , ,8, ,1016.5,12.4,0,25,0,330,0,39, ,0, , , , , , 
Cork,11-Feb-62,0,8.9,0,2.3, , ,8, ,1015,15.7,0,33,0,260,0,44, ,0, , , , , , 
Cork,12-Feb-62,0,11.6,0,7.3, , ,8, ,1000.5,25.3,0,32,0,270,0,49, ,0, , , , , , 
Cork,13-Feb-62,0,7.4,0,0.6, , ,8, ,1000.2,19.2,0,30,0,310,0,47, ,0, , , , , , 
Cork,14-Feb-62,0,5.3,1,-1.1, , ,8, ,1013,8.6,0,17,0,340,0,24, ,0, , , , , , 
Cork,15-Feb-62,0,10.7,0,2.5, , ,8, ,1012.5,13.3,0,23,0,290,0,38, ,0, , , , , , 
Cork,16-Feb-62,0,9.4,0,4.6, , ,8, ,1008.9,20.2,0,30,0,300,0,45, ,0, , , , , , 
Cork,17-Feb-62,0,11.4,0,4.5, , ,8, ,1016.8,10.5,0,15,0,300,0,24, ,0, , , , , , 
Cork,18-Feb-62,0,9.9,0,5.9, , ,8, ,1015.2,6.1,0,12,0,250,0,16, ,0, , , , , , 
Cork,19-Feb-62,0,8.3,0,5.5, , ,8, ,1008.7,8.2,0,14,0,200,0,22, ,0, , , , , , 
Cork,20-Feb-62,0,9.9,0,4.5, , ,8, ,1009.5,4.9,0,9,0,150,0,12, ,0, , , , , , 
Cork,21-Feb-62,0,8.2,0,1.7, , ,8, ,1011.8,6.8,0,11,0,90,0,16, ,0, , , , , , 
Cork,22-Feb-62,0,5.7,0,1.6, , ,8, ,1014.5,13.8,0,21,0,90,0,31, ,0, , , , , , 
Cork,23-Feb-62,0,3.6,0,0.6, , ,8, ,1015.7,18.5,0,24,0,110,0,32, ,0, , , , , , 
Cork,24-Feb-62,0,3.7,0,0.7, , ,8, ,1009.2,13.5,0,20,0,70,0,30, ,0, , , , , , 
Cork,25-Feb-62,0,3.7,0,0, , ,8, ,1003.3,17.6,0,24,0,60,0,40, ,0, , , , , , 
Cork,26-Feb-62,0,0.8,1,-2.7, , ,8, ,998.8,16,0,24,0,60,0,43, ,2, , , , , , 
