CASE,CITATION,DATE,YEAR,DECADE,DECISION,DECISION2,EFFECT,STAT NAME,STAT CITE,PL #,S-DATE,TIME TO DECISION,CONGRESS,AREA1,AREA2,LNDMRK,LNDDTL,ATT GEN,CERT,REVERSD,CRS,GVT PRTY,DISSENT,H-CT,caseId.SCDB,JRC caseID,,
United States v. Yale Todd,"*54 U.S. 40, 52",2/17/1794,1794,1790,2,1,struck down on face,Invalid Pensions Act,1 Stat. 243,2-9,3/19/1792,23,2,6,,0,0,1,0,0,0,1,0,0,NA,1794.01,,
Penhallow v. Doane's Adm'rs,003 U.S. 054,2/24/1795,1795,1790,0,0,upheld,Court of Appeals Resolution,17 JCC 459,,5/24/1780,177,0,5,,0,0,1,0,1,0,0,0,1,NA,1795.01,,
Hylton v. United States,003 U.S. 171,3/8/1796,1796,1790,0,0,upheld,Carriage Tax Act,1 Stat. 373,2-33,6/5/1794,21,3,5,,0,0,1,0,0,0,1,0,1,NA,1796.01,,
United States v. La Vengeance,003 U.S. 297,8/11/1796,1796,1790,0,0,upheld,Arms Exportation Act,1 Stat. 369,2-24,5/22/1794,28,3,6,1,0,0,1,0,0,0,1,0,1,NA,1796.02,,
Mossman v. Higginson,004 U.S. 12,8/11/1800,1800,1800,1,1,struck down as applied,Judiciary Act of 1789,1 Stat. 73,1-20,9/24/1789,131,1,5,6,1,0,0,0,0,0,0,0,0,NA,1800.01,,
Marbury v. Madison,005 U.S. 137,2/24/1803,1803,1800,2,1,struck down on face,Judiciary Act of 1789,1 Stat. 73,1-20,9/24/1789,161,1,6,,1,0,0,0,0,1,1,0,0,NA,1803.01,,
Stuart v. Laird,005 U.S. 299,3/2/1803,1803,1800,0,0,upheld,Repeal Act of 1801,2 Stat. 132,7-6,3/8/1802,12,7,6,1,1,1,0,0,0,0,0,0,1,NA,1803.02,,
United States v. Fisher,006 U.S. 358,2/21/1805,1805,1800,0,0,upheld,Effectual Settlement of Accounts Act,1 Stat. 512,4-19,3/3/1797,83,4,5,1,0,0,1,0,1,0,1,0,0,NA,1805.01,,
Ex Parte Bollman,008 U.S. 075,2/20/1807,1807,1800,0,0,upheld,Judiciary Act of 1789,1 Stat. 73,1-20,9/24/1789,209,1,6,,1,0,0,0,0,0,1,1,0,NA,1807.01,,
United States v. Cantril,008 U.S. 167,2/28/1807,1807,1800,2,1,struck down on face,Bank Frauds Act,1 Stat. 573,5-48,6/27/1798,104,5,1,,0,0,0,0,0,0,1,0,0,NA,1807.02,,
"United States v. Schooner Betsey and Charlotte, and her Cargo",008 U.S. 443,3/16/1807,1807,1800,0,0,upheld,St. Domingo Trade Suspension Act,2 Stat. 351,9-9,2/28/1806,13,9,1,,0,0,1,0,1,0,1,0,1,NA,1807.03,,
