origincityLabel,origincountry,originlat,originlong,originpopulation,sistercityLabel,destinationlat,destinationlong,destinationpopulation,destination_countryLabel,dist,eu,samecountry,typecountry
Veliko Tarnovo,Bulgaria,43.08222222,25.63166667,71150,Asti,44.9,8.206944444,76173,Italy,1406,EU,different,EU
Pernik,Bulgaria,42.60972222,23.03083333,75191,Graz,47.06666667,15.43333333,282479,Austria,777,EU,different,EU
Veliko Tarnovo,Bulgaria,43.08222222,25.63166667,71150,Toledo,39.86666667,-4.033333333,83459,Spain,2484,EU,different,EU
Obzor,Bulgaria,42.823,27.8787,2125,18th district of Budapest,47.43333333,19.16666667,101613,Hungary,853,EU,different,EU
Obzor,Bulgaria,42.823,27.8787,2125,18th district of Budapest,47.43333333,19.16666667,101613,Hungary,854,EU,different,EU
Balchik,Bulgaria,43.40777778,28.16222222,12913,Cieszyn,49.75,18.63333333,36119,Poland,1012,EU,different,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Chojna,52.96666667,14.41666667,NA,Poland,1390,EU,different,EU
Troyan,Bulgaria,42.88444444,24.70944444,22022,Forlì,44.2225,12.04083333,117859,Italy,1031,EU,different,EU
Sofia,Bulgaria,42.7,23.33333333,1286383,Helsinki,60.17333333,24.94861111,620982,Finland,1946,EU,different,EU
Dimitrovgrad,Bulgaria,42.06111111,25.59333333,38217,Kalamaria,40.583333,22.95,91279,Greece,275,EU,different,EU
Smolyan,Bulgaria,41.57527778,24.71277778,30507,Motril,36.74527778,-3.520555556,60368,Spain,2481,EU,different,EU
Montana,Bulgaria,43.40777778,23.225,44502,Salvatierra/Agurain,42.8492849,-2.3890554,4985,Spain,2071,EU,different,EU
Balchik,Bulgaria,43.40777778,28.16222222,12913,Hagfors,60.03333333,13.65,5146,Sweden,2091,EU,different,EU
Blagoevgrad,Bulgaria,42.02194444,23.0975,76811,Serres,41.08333333,23.55,58287,Greece,111,EU,different,EU
Yambol,Bulgaria,42.48444444,26.50861111,79771,Dublin,53.3425,-6.265833333,527612,Ireland,2693,EU,different,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Oxelösund,58.66666667,17.11666667,15085,Sweden,1850,EU,different,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Prienai,54.63333333,23.94166667,NA,Lithuania,1313,EU,different,EU
